AADF,NE,SE,WM
2000,176608,488874,367302
2001,182380,490877,377048
2002,183753,472207,353026
2003,173439,453380,322425
2004,156738,415046,293387
2005,155361,415750,297896
2006,150166,432404,300005
2007,149746,405572,287112
2008,148470,385209,270097
2009,146460,373512,274654
2010,157341,385380,290439
2011,153412,379877,279982
2012,161587,384070,285898
2013,160178,380233,276562
2014,158756,377594,274037
2015,160998,380490,274839
2016,148426,354876,250452
2017,140235,328924,227700
