AADF,NE,SE,WM
2000,12120654,46961043,26956216
2001,12514836,47779871,27309361
2002,12795245,48392531,27695209
2003,12770942,48061934,27509617
2004,13150068,48500858,28108929
2005,13155595,48056219,28135045
2006,13263058,48440111,28273059
2007,13257995,47840275,28132190
2008,13023020,46733230,27845252
2009,13158452,47009741,28232917
2010,13039679,46298446,27854236
2011,13110271,46923667,28550444
2012,13188054,46833417,28394607
2013,13203926,46331787,28160807
2014,13390376,46652987,29010942
2015,13465536,47696612,29309801
2016,13728752,48357105,29984013
2017,13796030,48407897,30250168
