AADF,PedalCycle,MotorCycle,CarTaxies,BusCoaches
2000,32643,87337,12120654,176608
2001,31407,92080,12514836,182380
2002,30293,95750,12795245,183753
2003,31771,109251,12770942,173439
2004,27168,99240,13150068,156738
2005,23391,94341,13155595,155361
2006,32101,93356,13263058,150166
2007,24052,95141,13257995,149746
2008,29516,93487,13023020,148470
2009,35006,92593,13158452,146460
2010,34611,87222,13039679,157341
2011,38064,85661,13110271,153412
2012,38478,79159,13188054,161587
2013,41094,80621,13203926,160178
2014,39312,83425,13390376,158756
2015,39879,80444,13465536,160998
2016,40511,80295,13728752,148426
2017,40354,78257,13796030,140235
