AADF,PedalCycle,MotorCycle,CarTaxies,BusCoaches
2000,183275,557469,46961043,488874
2001,181183,578675,47779871,490877
2002,176247,574776,48392531,472207
2003,184722,638188,48061934,453380
2004,157985,554963,48500858,415046
2005,141784,552226,48056219,415750
2006,202943,547278,48440111,432404
2007,148645,541298,47840275,405572
2008,193045,514721,46733230,385209
2009,211370,529224,47009741,373512
2010,208147,491187,46298446,385380
2011,227754,487827,46923667,379877
2012,211643,461778,46833417,384070
2013,208928,467704,46331787,380233
2014,205359,471372,46652987,377594
2015,202332,463446,47696612,380490
2016,205736,470219,48357105,354876
2017,208027,470432,48407897,328924
