AADFYear,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches
2000,88768,186004,19687547,216446
2001,85280,191649,19923756,220882
2002,84104,196499,20282864,221680
2003,86583,229758,20327062,207815
2004,74550,196853,20740101,191140
2005,65347,189626,20792253,189753
2006,92000,184308,21133734,194443
2007,63842,186108,20812196,184692
2008,75656,180192,20613170,183251
2009,89103,182522,20939604,191646
2010,85910,164454,20769394,203443
2011,91870,166271,20721987,201261
2012,86008,154541,20837960,206685
2013,85121,161191,20624993,204711
2014,82951,162488,20868371,204328
2015,83857,158280,21154833,203558
2016,85159,154639,21600006,187507
2017,83007,151327,21950064,178650
